,Title,URL,Thumbnail,Thumbnail URL,Pred-1,Prob-1,Pred-2,Prob-2,Pred-3,Prob-3,Pred-4,Prob-4,AccGuess-1,AccPerct-1,AccGuess-2,AccPerct-2,AccGuess-3,AccPerct-3,AccGuess-4,AccPerct-4,AccGuess-5,AccPerct-5,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,profanity,words
0,"RANGISARI (Video) | JugJugg Jeeyo | Varun D, Kiara A, Anil K, Neetu K | Kanishk & Kavita |",https://www.youtube.com/watch?v=bSAlE_WgHxY,bSAlE_WgHxY,http://img.youtube.com/vi/bSAlE_WgHxY/hqdefault.jpg,web_site,53.84644865989685,comic_book,24.363140761852264,book_jacket,1.8634621053934097,stage,1.8215235322713852,person,95.25649547576904,person,92.68086552619934,,,,,,,0.00107,0.00011,0.00023,9e-05,0.0002,0.00015,0,None
1,जॉनी लीवर - राजपाल यादव की १० लाख की रिक्शा रेस - बॉलीवुड डबल धमाल कॉमेडी,https://www.youtube.com/watch?v=fONuRuBHRx0,fONuRuBHRx0,http://img.youtube.com/vi/fONuRuBHRx0/hqdefault.jpg,television,81.51569962501526,monitor,5.601997300982475,screen,2.5342674925923347,theater_curtain,1.656661182641983,person,63.09683322906494,person,98.66925477981567,,,,,,,0.00108,0.00011,0.00019,0.00014,0.0002,0.00015,0,None
2,Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 687 | Full Episode,https://www.youtube.com/watch?v=Bzouj0iE7GM,Bzouj0iE7GM,http://img.youtube.com/vi/Bzouj0iE7GM/hqdefault.jpg,gasmask,76.43483877182007,mask,6.221731007099152,neck_brace,6.105157732963562,ski_mask,3.9006438106298447,person,99.46371912956238,person,99.5394229888916,,,,,,,0.00143,0.0001,0.00022,0.00012,0.0002,0.00015,0,None
3,295 (Official Audio) | Sidhu Moose Wala | The Kidd | Moosetape,https://www.youtube.com/watch?v=n_FCrCQ6-bA,n_FCrCQ6-bA,http://img.youtube.com/vi/n_FCrCQ6-bA/hqdefault.jpg,toilet_tissue,65.2771532535553,paper_towel,10.989979654550552,neck_brace,5.736393854022026,gong,3.3287838101387024,person,99.02731776237488,person,96.93586230278015,person,93.49191188812256,,,,,0.00084,0.00011,0.00018,0.0001,0.00018,0.00014,0,None
4,10 Habits that will Ruin Your Life || 10 Morning Bad Habits that Damage Your Life || Rewirs,https://www.youtube.com/watch?v=bk9LCo29Aiw,bk9LCo29Aiw,http://img.youtube.com/vi/bk9LCo29Aiw/hqdefault.jpg,comic_book,40.60036540031433,web_site,18.114937841892242,book_jacket,4.946962371468544,loupe,4.181541875004768,person,98.85470271110535,,,,,,,,,0.20474,0.00033,0.00225,0.00196,0.00415,0.00094,0,None
5,"South Indian Love Story Full Hindi Dubbed Romantic Action Movie | Nitin,Rashmika Mandanna Full Movie",https://www.youtube.com/watch?v=-1vot0S2zLg,-1vot0S2zLg,http://img.youtube.com/vi/-1vot0S2zLg/hqdefault.jpg,bow_tie,22.403080761432648,mask,9.127207100391388,bulletproof_vest,8.959843963384628,gasmask,7.830222696065903,person,99.84121322631836,person,99.89026188850403,person,99.6703028678894,,,,,0.00074,0.00011,0.00018,0.00013,0.00018,0.00014,0,None
6,I WAS HIRED TO BUILD HOUSES,https://www.youtube.com/watch?v=pj9mi_4N_Bk,pj9mi_4N_Bk,http://img.youtube.com/vi/pj9mi_4N_Bk/hqdefault.jpg,crane,25.34453570842743,solar_dish,22.014759480953217,radio_telescope,2.959028258919716,shopping_cart,2.9433993622660637,person,99.75012540817261,,,,,,,,,0.00265,0.00012,0.00019,0.00014,0.00029,0.00025,0,None
7,Kalaavathi - Video Song | Sarkaru Vaari Paata | Mahesh Babu | Keerthy Suresh | Thaman S | Parasuram,https://www.youtube.com/watch?v=SfDA33y38GE,SfDA33y38GE,http://img.youtube.com/vi/SfDA33y38GE/hqdefault.jpg,web_site,58.44023823738098,comic_book,7.497641444206238,neck_brace,2.0304089412093163,gown,1.988157257437706,person,99.8818039894104,person,98.50642681121826,,,,,,,0.0014,0.0001,0.00025,0.00011,0.0002,0.00015,0,None
8,Motu Patlu | मोटू पतलू S1 | Motu Patlu Ki Jodi | Episode 98 Part 1 | Download Voot Kids App,https://www.youtube.com/watch?v=hhnR4Gc-iLo,hhnR4Gc-iLo,http://img.youtube.com/vi/hhnR4Gc-iLo/hqdefault.jpg,mask,50.591373443603516,comic_book,5.5557288229465485,television,4.016692191362381,rubber_eraser,2.5668159127235413,,,,,,,,,,,0.0013,0.0001,0.0002,0.0001,0.00019,0.00014,0,None
9,Don - Jalabulajangu Video | Sivakarthikeyan | Anirudh Ravichander,https://www.youtube.com/watch?v=6KzeuDstzOY,6KzeuDstzOY,http://img.youtube.com/vi/6KzeuDstzOY/hqdefault.jpg,web_site,37.337762117385864,comic_book,6.026167050004005,jigsaw_puzzle,5.27726449072361,television,4.95239682495594,person,76.79780125617981,person,56.99782371520996,person,89.17787075042725,person,86.86105012893677,person,63.13392519950867,0.00109,0.0001,0.0002,0.00011,0.00019,0.00014,0,None
10,Calling my Girlfriend by her name 😂😂 #shorts #comedy #relationship,https://www.youtube.com/watch?v=4CLvEUpGin8,4CLvEUpGin8,http://img.youtube.com/vi/4CLvEUpGin8/hqdefault.jpg,oxygen_mask,18.50987672805786,lab_coat,17.595084011554718,gasmask,4.97119203209877,abaya,4.847569018602371,person,99.12869334220886,car,83.06279182434082,car,62.174344062805176,car,94.48089599609375,,,0.01083,0.00011,0.00084,0.00016,0.00041,0.00018,0,None
11,KK Best Songs | Best Of KK | Beetein Lamhe | KK JUKEBOX | Zara Si | Tu Jo Mila | KK Top 20 Songs |KK,https://www.youtube.com/watch?v=pYHB8SpaXWg,pYHB8SpaXWg,http://img.youtube.com/vi/pYHB8SpaXWg/hqdefault.jpg,microphone,92.21680760383606,revolver,2.471149154007435,stage,1.4842478558421135,hair_spray,0.3977475222200155,person,99.8388946056366,,,,,,,,,0.00249,9e-05,0.0003,0.0001,0.00024,0.00015,0,None
12,Damn Nature You Scary Pt. 2 | Funny Scary Animal Encounters,https://www.youtube.com/watch?v=0nUeIjPrsCM,0nUeIjPrsCM,http://img.youtube.com/vi/0nUeIjPrsCM/hqdefault.jpg,plow,18.081074953079224,triceratops,16.466303169727325,stretcher,6.4718373119831085,Indian_elephant,4.917842894792557,bicycle,61.1356258392334,elephant,92.9205596446991,motorcycle,81.74682259559631,motorcycle,75.7719874382019,,,0.65349,0.00318,0.43459,0.00089,0.05112,0.00136,1,damn
13,Bom Diggy Diggy (Full Video) Zack Knight | Jasmin Walia |Kartik Aaryan | Sonu Ke Titu Ki Sweety,https://www.youtube.com/watch?v=-tKvUktUh5s,-tKvUktUh5s,http://img.youtube.com/vi/-tKvUktUh5s/hqdefault.jpg,hair_spray,56.58590793609619,wig,17.256195843219757,television,3.130696341395378,jigsaw_puzzle,2.2591618821024895,person,87.58821487426758,person,99.80946779251099,person,95.3393280506134,person,50.28563141822815,person,51.45863890647888,0.00208,0.0001,0.00027,0.0001,0.00023,0.00016,0,None
14,Ramarao On Duty New 2022 Released Full Hindi Dubbed Action Movie |Superstar Ravi Teja New Movie 2022,https://www.youtube.com/watch?v=k7ftiX5vTEM,k7ftiX5vTEM,http://img.youtube.com/vi/k7ftiX5vTEM/hqdefault.jpg,television,65.87142944335938,neck_brace,19.048599898815155,monitor,3.323156386613846,screen,2.993764542043209,person,99.23388361930847,person,99.82959628105164,,,,,,,0.00091,0.0001,0.00019,0.00012,0.00019,0.00014,0,None
15,Monkey Man Mystery of Delhi l Kala Bandar of 2001 | Dhruv Rathee,https://www.youtube.com/watch?v=ZuKJpVNUHGg,ZuKJpVNUHGg,http://img.youtube.com/vi/ZuKJpVNUHGg/hqdefault.jpg,television,15.488529205322266,comic_book,12.269799411296844,wig,7.501479238271713,neck_brace,7.433302700519562,person,99.51987266540527,,,,,,,,,0.00097,0.0001,0.00018,0.0001,0.00019,0.00015,0,None
16,Boys Attitude Status😎 new Status for boys bablo status,https://www.youtube.com/watch?v=PFpI00f6v8I,PFpI00f6v8I,http://img.youtube.com/vi/PFpI00f6v8I/hqdefault.jpg,web_site,13.484224677085876,Band_Aid,7.695303857326508,comic_book,4.171948507428169,hair_spray,4.135644808411598,person,99.62078332901001,,,,,,,,,0.02837,0.00011,0.00079,0.00015,0.00128,0.00041,0,None
17,BRAHMĀSTRA OFFICIAL TRAILER 4K | Hindi | Amitabh | Ranbir | Alia | Ayan | In Cinemas 9th September,https://www.youtube.com/watch?v=ZJotU5eq0Ys,ZJotU5eq0Ys,http://img.youtube.com/vi/ZJotU5eq0Ys/hqdefault.jpg,book_jacket,51.695430278778076,brass,20.40543109178543,comic_book,5.443064868450165,theater_curtain,4.1250914335250854,person,97.11703658103943,,,,,,,,,0.00075,0.00011,0.00018,0.00012,0.00018,0.00014,0,None
18,"Ik Mulaqaat - Dream Girl | Ayushmann Khurrana, Nushrat Bharucha | Meet Bros Ft. Altamash F & Palak M",https://www.youtube.com/watch?v=zing4uQ3dR4,zing4uQ3dR4,http://img.youtube.com/vi/zing4uQ3dR4/hqdefault.jpg,hair_spray,9.558238089084625,whistle,6.678837537765503,lab_coat,6.475518643856049,web_site,5.453939363360405,person,96.82890772819519,person,98.44568967819214,,,,,,,0.00139,0.0001,0.00024,0.0001,0.0002,0.00015,0,None
19,"ड्यूटी मजिस्ट्रेट के गले लगकर रोया प्रदर्शनकारी युवक, बोला- रद्द करवा दीजिए योजना। Agnipath Scheme",https://www.youtube.com/watch?v=dfZldplBFmw,dfZldplBFmw,http://img.youtube.com/vi/dfZldplBFmw/hqdefault.jpg,television,62.033700942993164,web_site,19.98080015182495,screen,7.676107436418533,monitor,2.515479177236557,person,96.05078101158142,person,99.03785586357117,person,65.72185158729553,person,84.93852615356445,person,98.22778701782227,0.00135,0.00011,0.00019,0.00015,0.00021,0.00016,0,None
20,The Strongest and Largest Eagle in The World,https://www.youtube.com/watch?v=nPx2aL4saXc,nPx2aL4saXc,http://img.youtube.com/vi/nPx2aL4saXc/hqdefault.jpg,African_chameleon,38.571467995643616,banded_gecko,26.04821026325226,horned_viper,17.089203000068665,triceratops,4.175204038619995,person,63.042277097702026,,,,,,,,,0.00094,0.0001,0.00017,0.00011,0.00018,0.00015,0,None
21,Theft Of ATM Machines | सीआईडी | CID | Real Heroes,https://www.youtube.com/watch?v=bOkgqP4ZKAM,bOkgqP4ZKAM,http://img.youtube.com/vi/bOkgqP4ZKAM/hqdefault.jpg,scoreboard,30.681923031806946,bathing_cap,17.309698462486267,puck,4.459227621555328,cinema,2.431817725300789,person,99.92607235908508,person,99.22354221343994,person,97.55715131759644,person,98.76192808151245,person,99.79483485221863,0.0009,0.0001,0.00018,0.00011,0.00018,0.00013,0,None
22,Nadiyon Paar (Let the Music Play)– Roohi | Club Remix | Arabic Beats | Dj Aj-muzyk | Janhvi,https://www.youtube.com/watch?v=b8ycHTiERZA,b8ycHTiERZA,http://img.youtube.com/vi/b8ycHTiERZA/hqdefault.jpg,mask,21.40490710735321,cloak,10.458555072546005,fur_coat,9.906778484582901,wig,7.017913460731506,person,93.63796710968018,person,99.50571060180664,person,61.53280735015869,person,56.14646077156067,,,0.00073,0.00011,0.00018,0.00011,0.00017,0.00014,0,None
23,100 Days Building A Modern Underground Hut With A Grass Roof And A Swimming Pool,https://www.youtube.com/watch?v=tYf0BoFe9D8,tYf0BoFe9D8,http://img.youtube.com/vi/tYf0BoFe9D8/hqdefault.jpg,dam,68.42504143714905,bannister,7.6066769659519196,tub,2.718915417790413,bathtub,1.972712203860283,,,,,,,,,,,0.00192,0.0001,0.00016,0.00013,0.00023,0.00018,0,None
24,"Express Khiladi (Thodari) - Hindi Dubbed Full Movie Love Story | Dhanush, Keerthy Suresh",https://www.youtube.com/watch?v=AtJRJUXVT7Q,AtJRJUXVT7Q,http://img.youtube.com/vi/AtJRJUXVT7Q/hqdefault.jpg,abaya,11.133699119091034,wig,8.858322352170944,web_site,8.019229769706726,lab_coat,7.071086764335632,person,98.11216592788696,person,99.48211312294006,,,,,,,0.00073,0.00012,0.00019,0.00012,0.00019,0.00014,0,None
25,Coke Studio | Season 14 | Pasoori | Ali Sethi x Shae Gill,https://www.youtube.com/watch?v=5Eqb_-j3FDA,5Eqb_-j3FDA,http://img.youtube.com/vi/5Eqb_-j3FDA/hqdefault.jpg,stage,38.45270276069641,electric_guitar,5.119956657290459,oxygen_mask,4.60154265165329,comic_book,4.273337498307228,person,98.80748987197876,,,,,,,,,0.00103,0.0001,0.0002,0.0001,0.0002,0.00013,0,None
26,Taarak Mehta Ka Ooltah Chashmah - Episode 624 - Full Episode,https://www.youtube.com/watch?v=SCeliffla_k,SCeliffla_k,http://img.youtube.com/vi/SCeliffla_k/hqdefault.jpg,jersey,71.2766170501709,comic_book,10.665824264287949,neck_brace,4.691027104854584,Band_Aid,3.348129615187645,person,99.80273246765137,,,,,,,,,0.00121,0.0001,0.0002,0.00011,0.00019,0.00015,0,None
27,Evergreen Hits of KK (Audio Jukebox) | Remembering the Golden Voice | T Series - Bhushan Kumar,https://www.youtube.com/watch?v=r0c1f6XxRQg,r0c1f6XxRQg,http://img.youtube.com/vi/r0c1f6XxRQg/hqdefault.jpg,web_site,71.57179117202759,television,7.4416108429431915,cash_machine,2.5949321687221527,hair_spray,2.5871682912111282,person,91.37874245643616,,,,,,,,,0.00079,0.00011,0.00018,0.00011,0.00019,0.00014,0,None
28,Pakistan Street Food VS India Street Food!! Who does it better?,https://www.youtube.com/watch?v=pn0LSvhafYw,pn0LSvhafYw,http://img.youtube.com/vi/pn0LSvhafYw/hqdefault.jpg,bathing_cap,54.067397117614746,steel_drum,30.796656012535095,mask,1.3484885916113853,bucket,1.33804427459836,person,99.73635673522949,person,99.94004368782043,bowl,98.32711815834045,bowl,98.21837544441223,pizza,82.35423564910889,0.00102,0.0001,0.00016,0.00011,0.00018,0.00016,0,None
